sample	Time	Condition	Life	Species	Group	Colour		
ASL-T1-C1_counts	T1	Control	Larvae	A.selago	T1_Control	T1_Control		
ASL-T2-C1_counts	T2	Control	Larvae	A.selago	T2_Control	T2_Control		
ASL-T3-C1_counts	T3	Control	Larvae	A.selago	T3_Control	T3_Control		
ASL-T1-T1_counts	T1	Deoxygenation	Larvae	A.selago	T1_Deoxygenation	T1_Deoxygenation		
ASL-T2-T1_counts	T2	Deoxygenation	Larvae	A.selago	T2_Deoxygenation	T2_Deoxygenation		
ASL-T3-T1_counts	T3	Deoxygenation	Larvae	A.selago	T3_Deoxygenation	T3_Deoxygenation		
ASL-T1-C2_counts	T1	Control	Larvae	A.selago	T1_Control	T1_Control		
ASL-T2-C2_counts	T2	Control	Larvae	A.selago	T2_Control	T2_Control		
ASL-T3-C2_counts	T3	Control	Larvae	A.selago	T3_Control	T3_Control		
ASL-T1-T2_counts	T1	Deoxygenation	Larvae	A.selago	T1_Deoxygenation	T1_Deoxygenation		
ASL-T2-T2_counts	T2	Deoxygenation	Larvae	A.selago	T2_Deoxygenation	T2_Deoxygenation		
ASL-T3-T2_counts	T3	Deoxygenation	Larvae	A.selago	T3_Deoxygenation	T3_Deoxygenation		
ASL-T1-C3_counts	T1	Control	Larvae	A.selago	T1_Control	T1_Control		
ASL-T2-C3_counts	T2	Control	Larvae	A.selago	T2_Control	T2_Control		
ASL-T3-C3_counts	T3	Control	Larvae	A.selago	T3_Control	T3_Control		
ASL-T1-T3_counts	T1	Deoxygenation	Larvae	A.selago	T1_Deoxygenation	T1_Deoxygenation		
ASL-T2-T3_counts	T2	Deoxygenation	Larvae	A.selago	T2_Deoxygenation	T2_Deoxygenation		
ASL-T3-T3_counts	T3	Deoxygenation	Larvae	A.selago	T3_Deoxygenation	T3_Deoxygenation		
ASL-T1-C4_counts	T1	Control	Larvae	A.selago	T1_Control	T1_Control		
ASL-T2-C4_counts	T2	Control	Larvae	A.selago	T2_Control	T2_Control		
ASL-T3-C4_counts	T3	Control	Larvae	A.selago	T3_Control	T3_Control		
ASL-T1-T4_counts	T1	Deoxygenation	Larvae	A.selago	T1_Deoxygenation	T1_Deoxygenation		
ASL-T2-T4_counts	T2	Deoxygenation	Larvae	A.selago	T2_Deoxygenation	T2_Deoxygenation		
ASL-T3-T4_counts	T3	Deoxygenation	Larvae	A.selago	T3_Deoxygenation	T3_Deoxygenation		
